player_name,market_value,club,first_name,position,minutes_played,match_played,goals,assists,distance_covered
Aurier,10.0,Villarreal,Serge,Defender,129,5,0,1,15.9
Peña,2.5,Villarreal,Rubén,Defender,18,2,0,0,3.3
Coquelin,5.0,Villarreal,Francis,Midfielder,463,8,1,0,57.6
Capoue,3.0,Villarreal,Étienne,Midfielder,1046,12,2,4,130.9
Iborra,2.0,Villarreal,Vicente,Midfielder,10,1,0,0,1.8
Lo celso,22.0,Villarreal,Giovani,Midfielder,524,6,0,0,68.4
Trigueros,14.0,Villarreal,Manu,Midfielder,330,9,1,0,42.9
Parejo,9.0,Villarreal,Dani,Midfielder,1055,12,1,3,130.9
Danjuma,50.0,Villarreal,Arnaut,Midfielder,906,11,6,2,107.8
Gómez,8.0,Villarreal,Moi,Midfielder,222,6,0,1,32
Pino,40.0,Villarreal,Yéremy,Forward,431,7,1,0,54.7
Chukwueze,20.0,Villarreal,Samuel,Midfielder,273,9,2,0,37
Raba,0.9,Villarreal,Dani,Midfielder,11,1,0,0,1.7
Moreno,40.0,Villarreal,Gerard,Defender,309,7,1,0,41.7
Dia,12.0,Villarreal,Boulaye,Forward,258,8,1,0,33.3
Alcácer,9.0,Villarreal,Paco,Forward,73,3,1,0,10
